Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554710412,SMP,1,4.48,5.01,4.84,4.84,102.73,649.84,70.06,647.95,0
554712454,SMP,1,4.48,4.84,4.84,4.66,112.57,658.62,79.66,652.96,0
554714447,SMP,1,4.48,4.84,4.84,4.66,103.05,651.59,71.26,642.45,0
554716444,SMP,1,4.48,4.84,4.84,4.84,101.15,651.62,67.93,646.51,0
554718444,SMP,1,4.48,4.66,4.84,4.66,101.82,647.84,70.12,642.01,0
554720444,SMP,1,4.48,5.01,4.84,4.84,96.27,649.39,74.98,647.43,0
554722442,SMP,1,4.48,5.01,4.84,4.66,108.95,647.04,68.96,639.94,0
554724442,SMP,1,4.48,4.84,4.84,4.84,103.72,656.85,77.64,650.99,0
554726443,SMP,1,4.48,4.84,4.84,4.66,101.98,642.09,73.43,651.71,0
554728443,SMP,1,4.66,4.84,4.84,4.66,109.77,650.21,72.97,645.81,0
554730444,SMP,1,4.48,4.84,4.84,4.84,104.03,651.65,69.69,641.77,0
554732445,SMP,1,4.48,4.84,4.66,4.84,100.93,645.59,72.27,654.94,0
554734445,SMP,1,4.66,5.01,4.84,4.84,104.57,648.05,62.84,648.98,0
554736444,SMP,1,4.66,4.84,4.84,4.66,105.52,648.36,70.23,640.79,0
554738440,SMP,1,4.66,5.01,4.84,4.48,106.5,648.15,65.43,647.86,0
554740441,SMP,1,4.48,4.66,4.84,4.66,109.53,654.13,62.86,647.36,0
554742441,SMP,1,4.48,4.66,4.84,4.66,104.57,650.79,60.78,647.42,0
554744442,SMP,1,4.48,5.01,4.84,4.66,100.64,659.64,67.87,657.73,0
554746442,SMP,1,4.48,4.84,4.84,4.66,108.08,660.36,61.33,643.45,0
554748442,SMP,1,4.66,4.84,4.84,4.66,99.77,660.95,65.23,641.92,0
554750443,SMP,1,4.66,4.84,4.84,4.48,106.3,654.56,64.18,644.98,0
554752486,SMP,1,4.66,4.84,4.84,4.66,107.51,652.72,66.06,647.45,0
